"date","cnt","reinf","third","fourth"
2020-03-04,1,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,2,0,0,0
2020-03-08,8,0,0,0
2020-03-09,3,0,0,0
2020-03-10,7,0,0,0
2020-03-11,10,0,0,0
2020-03-12,18,0,0,0
2020-03-13,15,0,0,0
2020-03-14,12,0,0,0
2020-03-15,23,0,0,0
2020-03-16,141,0,0,0
2020-03-17,144,0,0,0
2020-03-18,176,0,0,0
2020-03-19,151,0,0,0
2020-03-20,114,0,0,0
2020-03-21,84,0,0,0
2020-03-22,37,0,0,0
2020-03-23,148,0,0,0
2020-03-24,78,0,0,0
2020-03-25,57,0,0,0
2020-03-26,52,0,0,0
2020-03-27,65,0,0,0
2020-03-28,38,0,0,0
2020-03-29,24,0,0,0
2020-03-30,61,0,0,0
2020-03-31,67,0,0,0
2020-04-01,48,0,0,0
2020-04-02,63,0,0,0
2020-04-03,72,0,0,0
2020-04-04,55,0,0,0
2020-04-05,76,0,0,0
2020-04-06,97,0,0,0
2020-04-07,81,0,0,0
2020-04-08,99,0,0,0
2020-04-09,115,0,0,0
2020-04-10,85,0,0,0
2020-04-11,136,0,0,0
2020-04-12,67,0,0,0
2020-04-13,68,0,0,0
2020-04-14,131,0,0,0
2020-04-15,150,0,0,0
2020-04-16,272,0,0,0
2020-04-17,215,0,0,0
2020-04-18,207,0,0,0
2020-04-19,117,0,0,0
2020-04-20,236,0,0,0
2020-04-21,360,0,0,0
2020-04-22,286,0,0,0
2020-04-23,331,0,0,0
2020-04-24,330,0,0,0
2020-04-25,238,0,0,0
2020-04-26,276,0,0,0
2020-04-27,169,0,0,0
2020-04-28,367,0,0,0
2020-04-29,492,0,0,0
2020-04-30,407,0,0,0
2020-05-01,371,0,0,0
2020-05-02,394,0,0,0
2020-05-03,371,0,0,0
2020-05-04,633,0,0,0
2020-05-05,875,0,0,0
2020-05-06,1048,0,0,0
2020-05-07,881,0,0,0
2020-05-08,811,0,0,0
2020-05-09,838,0,0,0
2020-05-10,705,0,0,0
2020-05-11,1036,0,0,0
2020-05-12,1250,0,0,0
2020-05-13,1290,0,0,0
2020-05-14,1230,0,0,0
2020-05-15,1089,0,0,0
2020-05-16,932,0,0,0
2020-05-17,726,0,0,0
2020-05-18,1419,0,0,0
2020-05-19,1531,0,0,0
2020-05-20,1604,0,0,0
2020-05-21,1627,0,0,0
2020-05-22,1768,0,0,0
2020-05-23,1320,0,0,0
2020-05-24,691,0,0,0
2020-05-25,1892,0,0,0
2020-05-26,1883,0,0,0
2020-05-27,1864,0,0,0
2020-05-28,1997,0,0,0
2020-05-29,2158,0,0,0
2020-05-30,1442,0,0,0
2020-05-31,1151,0,0,0
2020-06-01,2362,0,0,0
2020-06-02,2456,0,0,0
2020-06-03,2481,0,0,0
2020-06-04,2386,0,0,0
2020-06-05,2547,0,0,0
2020-06-06,1802,0,0,0
2020-06-07,1340,0,0,0
2020-06-08,3092,0,0,0
2020-06-09,3588,0,0,0
2020-06-10,3487,0,0,0
2020-06-11,3785,0,0,0
2020-06-12,4108,0,0,0
2020-06-13,2323,0,0,0
2020-06-14,1496,0,0,0
2020-06-15,5602,0,0,0
2020-06-16,2503,0,0,0
2020-06-17,4905,0,0,0
2020-06-18,6170,0,0,0
2020-06-19,5961,0,0,0
2020-06-20,4117,0,0,0
2020-06-21,2168,0,0,0
2020-06-22,7357,0,0,0
2020-06-23,8313,1,0,0
2020-06-24,8910,0,0,0
2020-06-25,8990,1,0,0
2020-06-26,9222,1,0,0
2020-06-27,5528,0,0,0
2020-06-28,3900,0,0,0
2020-06-29,10813,0,0,0
2020-06-30,12632,1,0,0
2020-07-01,12481,0,0,0
2020-07-02,12307,1,0,0
2020-07-03,11843,1,0,0
2020-07-04,6995,0,0,0
2020-07-05,5119,0,0,0
2020-07-06,12441,1,0,0
2020-07-07,14632,0,0,0
2020-07-08,13653,2,0,0
2020-07-09,13349,2,0,0
2020-07-10,14144,1,0,0
2020-07-11,8067,0,0,0
2020-07-12,4834,0,0,0
2020-07-13,13994,2,0,0
2020-07-14,14897,0,0,0
2020-07-15,13475,0,0,0
2020-07-16,12410,0,0,0
2020-07-17,13316,0,0,0
2020-07-18,8613,1,0,0
2020-07-19,5402,0,0,0
2020-07-20,14466,3,0,0
2020-07-21,14761,2,0,0
2020-07-22,13221,0,0,0
2020-07-23,12203,0,0,0
2020-07-24,10943,0,0,0
2020-07-25,5815,0,0,0
2020-07-26,3448,0,0,0
2020-07-27,11281,3,0,0
2020-07-28,11156,1,0,0
2020-07-29,9987,0,0,0
2020-07-30,9003,1,0,0
2020-07-31,8150,0,0,0
2020-08-01,3983,1,0,0
2020-08-02,2434,0,0,0
2020-08-03,8371,2,0,0
2020-08-04,7762,0,0,0
2020-08-05,6599,1,0,0
2020-08-06,6192,3,0,0
2020-08-07,5680,1,0,0
2020-08-08,2470,0,0,0
2020-08-09,1637,0,0,0
2020-08-10,1661,0,0,0
2020-08-11,5990,2,0,0
2020-08-12,5212,1,0,0
2020-08-13,4364,1,0,0
2020-08-14,4125,2,0,0
2020-08-15,1970,1,0,0
2020-08-16,1194,0,0,0
2020-08-17,4259,2,0,0
2020-08-18,3918,0,0,0
2020-08-19,3174,2,0,0
2020-08-20,3114,2,0,0
2020-08-21,3336,1,0,0
2020-08-22,1440,2,0,0
2020-08-23,857,0,0,0
2020-08-24,3492,0,0,0
2020-08-25,2871,1,0,0
2020-08-26,2510,1,0,0
2020-08-27,2364,2,0,0
2020-08-28,2222,2,0,0
2020-08-29,1042,1,0,0
2020-08-30,733,0,0,0
2020-08-31,2504,2,0,0
2020-09-01,2415,1,0,0
2020-09-02,1978,3,0,0
2020-09-03,1882,2,0,0
2020-09-04,1840,2,0,0
2020-09-05,885,1,0,0
2020-09-06,473,2,0,0
2020-09-07,2202,1,0,0
2020-09-08,2037,3,0,0
2020-09-09,1921,2,0,0
2020-09-10,1844,2,0,0
2020-09-11,1901,3,0,0
2020-09-12,820,3,0,0
2020-09-13,447,0,0,0
2020-09-14,2179,3,0,0
2020-09-15,2145,2,0,0
2020-09-16,1972,4,0,0
2020-09-17,1857,0,0,0
2020-09-18,1884,3,0,0
2020-09-19,947,0,0,0
2020-09-20,577,2,0,0
2020-09-21,2134,6,0,0
2020-09-22,2081,2,0,0
2020-09-23,1770,1,0,0
2020-09-24,509,1,0,0
2020-09-25,1635,4,0,0
2020-09-26,830,2,0,0
2020-09-27,518,0,0,0
2020-09-28,1933,6,0,0
2020-09-29,2055,10,0,0
2020-09-30,1946,4,0,0
2020-10-01,1790,6,0,0
2020-10-02,1772,7,0,0
2020-10-03,661,5,0,0
2020-10-04,433,4,0,0
2020-10-05,2209,20,0,0
2020-10-06,1963,8,0,0
2020-10-07,1977,13,0,0
2020-10-08,1854,8,0,0
2020-10-09,1943,9,0,0
