"province","agegrp5","sex","no_reinf","reinf","total"
"GAUTENG","(0,5]","F",5205,20,5225
"GAUTENG","(0,5]","M",5570,17,5587
"GAUTENG","(0,5]","U",142,1,143
"GAUTENG","(10,15]","F",14386,83,14469
"GAUTENG","(10,15]","M",12852,60,12912
"GAUTENG","(10,15]","U",353,0,353
"GAUTENG","(15,20]","F",23874,271,24145
"GAUTENG","(15,20]","M",18512,185,18697
"GAUTENG","(15,20]","U",365,0,365
"GAUTENG","(20,25]","F",34919,581,35500
"GAUTENG","(20,25]","M",25419,385,25804
"GAUTENG","(20,25]","U",434,1,435
"GAUTENG","(25,30]","F",55156,1043,56199
"GAUTENG","(25,30]","M",38761,600,39361
"GAUTENG","(25,30]","U",623,1,624
"GAUTENG","(30,35]","F",62254,1151,63405
"GAUTENG","(30,35]","M",45946,722,46668
"GAUTENG","(30,35]","U",632,4,636
"GAUTENG","(35,40]","F",60276,999,61275
"GAUTENG","(35,40]","M",47675,734,48409
"GAUTENG","(35,40]","U",620,2,622
"GAUTENG","(40,45]","F",50024,733,50757
"GAUTENG","(40,45]","M",41969,581,42550
"GAUTENG","(40,45]","U",500,1,501
"GAUTENG","(45,50]","F",46673,670,47343
"GAUTENG","(45,50]","M",40097,555,40652
"GAUTENG","(45,50]","U",403,3,406
"GAUTENG","(5,10]","F",7625,27,7652
"GAUTENG","(5,10]","M",7736,24,7760
"GAUTENG","(5,10]","U",180,0,180
"GAUTENG","(50,55]","F",40731,500,41231
"GAUTENG","(50,55]","M",34473,416,34889
"GAUTENG","(50,55]","U",333,0,333
"GAUTENG","(55,60]","F",31641,341,31982
"GAUTENG","(55,60]","M",26547,272,26819
"GAUTENG","(55,60]","U",316,0,316
"GAUTENG","(60,65]","F",20749,160,20909
"GAUTENG","(60,65]","M",17462,148,17610
"GAUTENG","(60,65]","U",187,0,187
"GAUTENG","(65,70]","F",13837,103,13940
"GAUTENG","(65,70]","M",11719,89,11808
"GAUTENG","(65,70]","U",131,0,131
"GAUTENG","(70,75]","F",9959,61,10020
"GAUTENG","(70,75]","M",8194,54,8248
"GAUTENG","(70,75]","U",75,0,75
"GAUTENG","(75,80]","F",6875,33,6908
"GAUTENG","(75,80]","M",5148,24,5172
"GAUTENG","(75,80]","U",41,0,41
"GAUTENG","(80,Inf]","F",8088,55,8143
"GAUTENG","(80,Inf]","M",4482,28,4510
"GAUTENG","(80,Inf]","U",65,1,66
